id,level,kind,lesson,number,title,reading,meaning_vi,page,status,reason,example_field_nonempty,raw_has_reibun,raw_bullets,raw_preview
N2-vocab-0021,N2,vocab,第3 課:21~30,21,視野,しや,Tầm nhìn,8,OK,raw_例文,NO,YES,5,Kiến thức し や 意味 1 目を動かさずに見える景色の範囲 視野 ポイント _が見える、 _に入る 例文 Tầm nhìn ・山をじっと見ていたら、雲が視野に入ってきた。 意味 2 考え方 _が広い、狭い ポイント ・息子には留学して視野を広げてほしい。 関連語彙 類: 視界 • 意味:目を動かしてあちらこちら見回して、見える範囲 • ポイント:視野<視界(範囲が広い) • 例文:停電して視界が暗い
N2-vocab-0022,N2,vocab,第3 課:21~30,22,機能,きのう,Tính năng,8,OK,raw_例文,NO,YES,2,きのう 意味 機能は機能です! www 機能 カメラ_、電話_、ネット_等 ポイント 例文 Tính năng ・最近のスマホは機能が多すぎる。 ・(医者が患者へ) あなたの心臓は、正常に機能しています。
N2-vocab-0023,N2,vocab,第3 課:21~30,23,世間,せけん,Xã hội,9,OK,raw_例文,NO,YES,5,意味 せけん 世の中、社会 世間 世の中 ポイント 例文 Xã hội ・有名芸能人の不倫事件が世間を騒がせている。 ・本当はニートになりたいが、世間の目が怖いので 働くしかない。 ・確かに彼は世間知らずだが、悪い奴というわけでは ない。 (経験が浅く、世の中のことをあまり知らない人) 関連語彙 類: 世間体 • 意味:世間の人から見られる姿 • 例文:世間体を気にする
N2-vocab-0024,N2,vocab,第3 課:21~30,24,違反,いはん,Vi phạm,9,OK,raw_例文,NO,YES,2,いはん 意味 ルール・決まりを守らないこと 違反 例文 Vi phạm ・スピード違反で捕まってしまった。
N2-vocab-0025,N2,vocab,第3 課:21~30,25,素質,そしつ,Tố chất,9,OK,raw_例文,NO,YES,1,そしつ 意味 世の中からの評価 素質 ≒才能 ポイント 例文 Tố chất ・彼は有名な人の素質がある。
N2-vocab-0026,N2,vocab,第3 課:21~30,26,辞退,じたい,Rút lui,10,OK,raw_例文,NO,YES,2,すすめられたことを遠慮して断ること じたい 意味 辞退 ポイント 候補になったり提案をもらったが、それを断ること 例文 ・今回の大会は怪我のせいで辞退しなければならなく Rút lui なった。 ・(会社から内定をもらったあと) 「良いお話ですが、今回はご辞退させていただきます」
N2-vocab-0027,N2,vocab,第3 課:21~30,27,改正,かいせい,Sửa đổi (Pháp luật),10,OK,raw_例文,NO,YES,3,かいせい 意味 改めて、変える 改正 規則、内容を改めて、正しくする ポイント 例文 Sửa đổi (Pháp luật) ・労働法を改正する。 使い分け • 改正: ルール、法律 (変更+良くないところを直してもっとよくする) • 改善: あらゆるもの (生活、サービスなど)
N2-vocab-0028,N2,vocab,第3 課:21~30,28,夢中,むちゅう,Say sưa,10,OK,raw_例文,NO,YES,1,むちゅう 意味 周りが見えなくなるくらい集中すること 夢中 夢の中にいるような気分になるほど! ポイント 例文 Say sưa ・最近彼はRIKIの動画に夢中になっている。
N2-vocab-0029,N2,vocab,第3 課:21~30,29,日中,にっちゅう,Ban ngày,10,OK,raw_例文,NO,YES,2,にっちゅう 意味 昼間・日がのぼっている間 日中 ポイント だいたい12 時前後から4 時ぐらいまで 例文 ・(約束時間を決めているとき) Ban ngày 「日中は仕事で家にいないので、夜だと助かります」
N2-vocab-0030,N2,vocab,第3 課:21~30,30,矛盾,むじゅん,Mâu thuẫn,11,OK,raw_例文,NO,YES,1,意味 一方ではA と言い、一方ではB と言い、 むじゅん 矛盾 話のロジックが合わないこと 例文 ・上司がよく、「丁寧に急いで仕事をしなさい」と Mâu thuẫn いうが、私には矛盾しているように感じる。
N2-vocab-0031,N2,vocab,第4 課:31~40,31,交代,こうたい,Thay phiên nhau,12,OK,raw_例文,NO,YES,2,Kiến thức こうたい 意味 場所や位置を入れ替えること 交代 Thay phiên nhau 例文 ・選手交代 ・社長交代
N2-vocab-0032,N2,vocab,第4 課:31~40,32,合図,あいず,Tín hiệu,12,OK,raw_例文,NO,YES,2,あいず 意味 意志を伝えるために約束された、言葉以外の手段 合図 ポイント サイン 例文 ・(彼女の誕生日の日、レストランで) Tín hiệu 片手で店員に合図をすると、誕生日ケーキが来た。 ・(歯医者で) 痛かったら合図してくださいね。
N2-vocab-0033,N2,vocab,第4 課:31~40,33,愚痴,ぐち,Than vãn,12,OK,raw_例文,NO,YES,2,意味 言っても仕方がないことを嘆く ぐ ち 愚痴 嫌いな人や事のどうでもいい悪口を言うこと ポイント 愚痴を言う、愚痴る 例文 Than vãn ・課長は飲み会でいつも会社の愚痴をこぼす。 ・愚痴る(若者言葉) A: ねぇ、ちょっとぐちってもいい? B: うん。最近大変そうだよね。全然聞くわ。
N2-vocab-0034,N2,vocab,第4 課:31~40,34,場面,ばめん,"Cảnh, tình trạng",13,OK,raw_例文,NO,YES,2,"ばめん 意味 シーン、状況 場面 例文 Cảnh, tình trạng ・2021 年、世界は苦しい場面に直面している。 ・この本は使う場面別に文法が書かれているので 勉強しやすい。"
N2-vocab-0035,N2,vocab,第4 課:31~40,35,成長,せいちょう,Trưởng thành,13,OK,raw_例文,NO,YES,2,意味 育って大きくなること せいちょう 成長 ポイント 人以外にも使う! 経済・精神的な成長にも Trưởng thành 例文 ・子どもの成長は本当に早い。
N2-vocab-0036,N2,vocab,第4 課:31~40,36,追加,ついか,Thêm vào,13,OK,raw_例文,NO,YES,1,ついか 意味 今あるものにつけ足すこと 追加 例文 ・(店員) Thêm vào 「ミルクティー1つですね。トッピングを 追加しますか?」
N2-vocab-0037,N2,vocab,第4 課:31~40,37,廃止,はいし,Hủy bỏ,13,OK,raw_例文,NO,YES,3,はいし 意味 制度・ルールをやめること 廃止 類: 終了、中止 ポイント 例文 Hủy bỏ ・レジ袋の無料配布を廃止します。(環境のため) ・評判のいい店が探せて嬉しい!
N2-vocab-0038,N2,vocab,第4 課:31~40,38,心強い,こころづよい,"Mạnh mẽ, vững tâm",14,OK,raw_例文,NO,YES,1,"こころづよ 意味 頼りになって、安心できること 心強 い ポイント ⇔心細い 例文 ・A「あー、合格できるかなぁ、、、」 Mạnh mẽ, vững tâm B「ダオさんなら絶対合格できるよ!」 A「そういってくれると本当に心強いです。」"
N2-vocab-0039,N2,vocab,第4 課:31~40,39,解散,かいさん,"Giải tán Giải thể, tan rã (công ty)",14,OK,raw_例文,NO,YES,2,"かいさん 意味 集まっていた人が分かれてバラバラになること 解散 例文 ・9時に集合 Giải tán それから現地に向かって1時に昼食 Giải thể, tan rã (công ty) 3時に解散 ・有名なグループ〇〇が解散したらしい。"
N2-vocab-0040,N2,vocab,第4 課:31~40,40,意欲,いよく,Sự mong muốn,14,OK,raw_例文,NO,YES,3,・有名なグループ〇〇が解散したらしい。 いよく 意味 進んで何かをしようと思う事やる気 意欲 例文 Sự mong muốn ・RIKI の学生は意欲のある学生ばかりだ。 ・日本で頑張っている友達を見ると勉強意欲が わいてくる。
N2-vocab-0041,N2,vocab,第5 課:41~50,41,専念,せんねん,Sự say mê,15,OK,raw_例文,NO,YES,1,せんねん 意味 他のことを諦めて、一つのことに集中する 専念 例文 ・「今年は仕事に専念したいから恋愛は Sự say mê しないつもり。」
N2-vocab-0042,N2,vocab,第5 課:41~50,42,格好,かっこう,Diện mạo/Gây ấn tượng,15,OK,raw_例文,NO,YES,3,かっこう 意味 1 外から見た見た目、外見、姿 格好 ポイント _がいい・_をつける 例文 Diện mạo/Gây ấn tượng ・同じ格好で並んで眠る柴犬 意味 2 人に対して恥ずかしくない姿 例文 ・テスト100 点では母に格好がつかない...。
N2-vocab-0043,N2,vocab,第5 課:41~50,43,提示,ていじ,Xuất trình,15,OK,raw_例文,NO,YES,2,ていじ 意味 差し出して見せること 提示 ポイント クレジットカード、パスポート Xuất trình 例文 ・(警備員さんが) A「すみませんが、身分証の提示をお願いします。」 B「はい」 ・他社からいい条件を提示されたため、今の会社を 辞めるつもりだ。
N2-vocab-0044,N2,vocab,第5 課:41~50,44,分野,ぶんや,Lĩnh vực,16,OK,raw_例文,NO,YES,2,意味 物事のある範囲 ぶんや 分野 A さんの得意分野➡計算・暗算 ポイント A さんの苦手分野➡デザイン 例文 Lĩnh vực ・恋愛相談は私の得意分野です。
N2-vocab-0045,N2,vocab,第5 課:41~50,45,中継,ちゅうけい,"Phát thanh, phát sóng",16,OK,raw_例文,NO,YES,2,"意味 中継放送の略。 ちゅうけい 中継 現場の放送を、他の人にも見せること 生中継 ポイント 例文 Phát thanh, phát sóng ・スポーツ中継を見る。 ・「こちら現場からの中継です。」"
N2-vocab-0046,N2,vocab,第5 課:41~50,46,見当,けんとう,Dự đoán,16,OK,raw_例文,NO,YES,1,けんとう 意味 大体の予想をすること 見当 _がつく、つかない ポイント 例文 Dự đoán ・誰が犯人なのか見当もつかない。
N2-vocab-0047,N2,vocab,第5 課:41~50,47,比例,ひれい,Tỷ lệ,16,OK,raw_例文,NO,YES,1,意味 1つが減ったり増えたりすると、 ひれい 比例 もう1つも増えたり減ったりすること ポイント グラフ、図を使って見せる場合が多い Tỷ lệ 例文 ・身長と体重は必ず比例しているわけではない。
N2-vocab-0048,N2,vocab,第5 課:41~50,48,ふもと,,Chân núi,16,OK,raw_例文,NO,YES,1,意味 山の下の方のところ ふもと Chân núi 例文 ・富士山のふもとでキャンプする。
N2-vocab-0049,N2,vocab,第5 課:41~50,49,補足,,"Bổ túc, bổ sung",16,OK,raw_例文,NO,YES,2,"意味 不十分な説明をプラスすること 補足 説明に対し、付け足して、補う。 ポイント Bổ túc, bổ sung 例文 ・補足説明はページの下にあります。 ・「今の彼の意見に補足させていただきますと〜」"
N2-vocab-0050,N2,vocab,第5 課:41~50,50,催促,,"Thúc giục, hối thúc",17,OK,raw_例文,NO,YES,2,"意味 早くするように何かを言ったり・したりすること 催促 ポイント 借金、料金、メール、締め切り 例文 Thúc giục, hối thúc ・取引先から催促の電話がかかってきた。"
N2-vocab-0051,N2,vocab,第6課:51~60,51,導入,どうにゅう,Đưa vào/Dẫn nhập,18,OK,raw_例文,NO,YES,2,意味 1 新しい何か(製品、サービス、制度) どうにゅう 導入 を社内に入れること 例文 ・A「最近はどこもセルフレジを導入してるね。」 B「うちも導入しようか。」 Đưa vào/Dẫn nhập (セルフ(Self):自分で) 意味 2 はじまりの部分 例文 ・授業では導入部分が大切です。
N2-vocab-0052,N2,vocab,第6課:51~60,52,体格,たいかく,"Cử chỉ, vóc dáng",18,OK,raw_例文,NO,YES,4,"意味 体の筋肉・骨の太さ たいかく 体格 ポイント __がいい __が小さい Cử chỉ, vóc dáng 例文 ・ボディガードはみんな体格がいいなぁ。 使い分け たいかく • 体格 : 筋肉、骨の太さ たいけい • 体型 : 太っている、痩せている"
N2-vocab-0053,N2,vocab,第6課:51~60,53,勘定,かんじょう,Sự thanh toán,19,OK,raw_例文,NO,YES,2,意味 支払い金額を計算してお金を支払うこと かんじょう 勘定 ポイント ≒お会計 会計より硬い感じ 例文 ・A「ここの勘定は私が。」 Sự thanh toán B「いえいえ、割り勘でいきましょう。」 ・(店員に向かって) お勘定お願いします。 (中年のビジネスパーソンが使う感じ)
N2-vocab-0054,N2,vocab,第6課:51~60,54,人通り,ひとどおり,Lượng người đi lại,19,OK,raw_例文,NO,YES,1,意味 人が行き来すること。人の通行。 ひとどお 人通 り ポイント _が多い _が少ない 例文 Lượng người đi lại ・東京の渋谷は人通りが多くて、にぎやかだ。
N2-vocab-0055,N2,vocab,第6課:51~60,55,訂正,ていせい,Đính chính,19,OK,raw_例文,NO,YES,4,意味 間違っているものを正しく直すこと ていせい よく言葉・文字・文章の間違いを直す時に使います ポイント 訂正 自分に間違いがあった時 修正は相手がミスした時も使える 例文 Đính chính ・資料を訂正したので、確認しておいてね。 ・先ほどは失礼な事を申しました。発言を 訂正いたします。
N2-vocab-0056,N2,vocab,第6課:51~60,56,用心,ようじん,"Dụng tâm, cẩn trọng",19,OK,raw_例文,NO,YES,2,"ようじん 意味 事前に気をつけること 用心 例文 ・火の用心 Dụng tâm, cẩn trọng ・この辺は夜危なそうだから、帰り道は用心してね。"
N2-vocab-0057,N2,vocab,第6課:51~60,57,会見,かいけん,"Phỏng vấn, họp báo",20,OK,raw_例文,NO,YES,2,"かいけん 意味 改まった形で人に会うこと公式な場面で使う 会見 例文 ・謝罪会見 Phỏng vấn, họp báo ・結婚会見 (日本は有名人は、このような形で国民に報告した ほうがいい)"
N2-vocab-0058,N2,vocab,第6課:51~60,58,支持,しじ,Ủng hộ,20,OK,raw_例文,NO,YES,2,し じ 意味 賛成して応援すること 支持 ポイント 政治の話でよく使います 例文 ・新しい政治家の支持率が高い・低い Ủng hộ ないかく ⇒内閣 (日本政府)
N2-vocab-0059,N2,vocab,第6課:51~60,59,言い訳,いわけ,"Biện minh, lý do lý trấu",20,OK,raw_例文,NO,YES,2,"い わけ 意味 そうなった理由を説明する 言 い訳 例文 ・「やばい、、お皿壊れっちゃった。お母さんに絶対 怒られる〜〜。言い訳考えなきゃ、、、」 Biện minh, lý do lý trấu ・言い訳するな!!!"
N2-vocab-0060,N2,vocab,第6課:51~60,60,特色,とくしょく,Đặc sắc,20,OK,raw_例文,NO,YES,2,・言い訳するな!!! とくしょく 意味 他と違っていて、良い意味で目だつところ 特色 例文 ・特色のある学校 Đặc sắc
N2-vocab-0061,N2,vocab,第7 課:61~70,61,所有,しょゆう,Sở hữu,21,OK,raw_例文,NO,YES,2,Kiến thức 意味 しょゆう 自分のものとして持っていること 所有 権利、財産+所有 ポイント Sở hữu 例文 ・「このアパートは僕が所有しているんだ。」 ・父の所有する土地
N2-vocab-0062,N2,vocab,第7 課:61~70,62,収納,しゅうのう,Sự cất trữ,21,OK,raw_例文,NO,YES,3,意味 しゅうのう ものを中に入れて・しまっておくこと 収納 例文 ・このアパートは収納が多い。 ・A「山田さんは収納が上手ですね。」 Sự cất trữ B「いえいえ、むじるしで買った収納用品を使った だけです。」
N2-vocab-0063,N2,vocab,第7 課:61~70,63,用途,ようと,Công dụng,21,OK,raw_例文,NO,YES,2,意味 ようと 使う方法・使うところ 用途 多い、広い ポイント Công dụng 例文 ・この商品は用途が多い。
N2-vocab-0064,N2,vocab,第7 課:61~70,64,行方,ゆくえ,Tung tích,22,OK,raw_例文,NO,YES,1,"意味 ゆくえ どこにいるか 行方 例文 ・警察庁の最新データによると、平成26 年から30 年 の間に、日本全体の年間行方不明者数は81,111 人 Tung tích から87,962 人に増加した。"
N2-vocab-0065,N2,vocab,第7 課:61~70,65,予測,よそく,Dự đoán,22,OK,raw_例文,NO,YES,3,意味 よそく その先や結果を前もって考える・予想すること 予測 予想よりも客観的・信頼性が高い ポイント 例文 ・コロナウイルスは今年中に収束すると Dự đoán 予測しています。
N2-vocab-0066,N2,vocab,第7 課:61~70,66,完了,かんりょう,Hoàn thành,22,OK,raw_例文,NO,YES,1,意味 かんりょう 完全に終えること 完了 例文 ・「課長。会議の準備、完了しました。」 Hoàn thành
N2-vocab-0067,N2,vocab,第7 課:61~70,67,相違,そうい,Khác nhau,22,OK,raw_例文,NO,YES,1,意味 そうい 2つのものの間に違いがあること 相違 ⇔共通点 ポイント 例文 ・(警察の取り調べで) Khác nhau 2人の意見は相違点が多い。
N2-vocab-0068,N2,vocab,第7 課:61~70,68,作成,さくせい,Soạn thảo,22,OK,raw_例文,NO,YES,1,意味 さくせい 計画や書類を作ること 作成 例文 ・「グエンさん、今日の会議の資料を作成してくれる かな。」 Soạn thảo
N2-vocab-0069,N2,vocab,第7 課:61~70,69,中断,ちゅうだん,"Gián đoạn, tạm dừng",22,OK,raw_例文,NO,YES,1,"意味 ちゅうだん 始まっているものを途中でやめること 中断 完全にやめるわけではなく、また再開する ポイント Gián đoạn, tạm dừng 例文 ・雨でサッカーの試合が中断する。"
N2-vocab-0070,N2,vocab,第7 課:61~70,70,収穫,しゅうかく,"Gặt hái, thu hoạch",23,OK,raw_例文,NO,YES,2,"意味 しゅうかく 何かをして得られること 収穫 食べ物、経験、結果 ポイント 例文 ・(いつもよりリンゴがとれました) Gặt hái, thu hoạch 「今年はたくさん収穫できたなぁ!」 ・「今回の出張は収穫が多かったです。契約が3件も 取れました。」"
N2-vocab-0071,N2,vocab,第8 課:71~80,71,衝突,しょうとつ,Xung đột,24,OK,raw_例文,NO,YES,2,Kiến thức 意味 しょうとつ ぶつかること 衝突 例文 ・今日の朝車と自転車の衝突事故があったみたいだよ。 Xung đột ・意見衝突
N2-vocab-0072,N2,vocab,第8 課:71~80,72,発達,はったつ,Phát triển/Mạnh dần lên,24,OK,raw_例文,NO,YES,3,意味 はったつ 成長してさらに機能をもつようになること 発達 心、体 ポイント Phát triển/Mạnh dần lên 例文 ・心身が発達する 台風・文明 ポイント 例文 ・(天気予報で) 現在台風9号が発達しており、来週には日本へ 上陸するでしょう。
N2-vocab-0073,N2,vocab,第8 課:71~80,73,引退,いんたい,"Nghỉ hưu, giải nghệ",24,OK,raw_例文,NO,YES,2,"上陸するでしょう。 意味 いんたい 今の役職や地位を離すこと 引退 Nghỉ hưu, giải nghệ 例文 ・引退会見 ・○○は来年引退を考えているそうだ。 使い分け いんたい かいけん  引退 会見 しゃざい かいけん  謝罪 会見"
N2-vocab-0074,N2,vocab,第8 課:71~80,74,順調,じゅんちょう,Thuận lợi,25,OK,raw_例文,NO,YES,1,意味 問題なく物事がうまく進んでいる じゅんちょう 順調 順調に進む ポイント 仕事、結婚生活は順調です 例文 ・A:「最近仕事どう?」 Thuận lợi B:「ん?順調だよ。そっちは?」 A:「もうトラブル続きで大変、、、」
N2-vocab-0075,N2,vocab,第8 課:71~80,75,提供,ていきょう,Cung cấp,25,OK,raw_例文,NO,YES,1,A:「もうトラブル続きで大変、、、」 意味 ていきょう 相手の役に立つように、何かを渡すこと 提供 物、サービスを提供する ポイント 例文 ・(スターバックスで) Cung cấp 「あちらのカウンターでご提供いたしますので少々 お待ちください。」
N2-vocab-0076,N2,vocab,第8 課:71~80,76,邪魔,じゃま,Cản trở,25,OK,raw_例文,NO,YES,1,例文 ・A:「そこにいると邪魔だよ。ゲームできない。」 じゃま 邪魔 B:「ワンワンワンワン(あっ、ごめん)」 Cản trở
N2-vocab-0077,N2,vocab,第8 課:71~80,77,息抜き,いきぬき,"Đổi gió, nghỉ ngơi",25,OK,raw_例文,NO,YES,2,"意味 気分転換のために休んだり・何か好きなことをするこ いきぬ 息抜 き と 例文 ・A:「仕事中の息抜きはどうしていますか?」 B:「最近は韓国語の会話練習をしてますね」 Đổi gió, nghỉ ngơi A:「??勉強ですか?」 B:「なんか、ストレス発散になるんですよ〜」"
N2-vocab-0078,N2,vocab,第8 課:71~80,78,延長,えんちょう,Kéo dài,25,OK,raw_例文,NO,YES,3,B:「なんか、ストレス発散になるんですよ〜」 意味 えんちょう 1 期間を延ばすこと・延びること 延長 例文 ・感染者が減らず、ロックダウンが9月まで 延長されるそうだ。 Kéo dài 意味 2 続きのもの ・彼は仕事が遊びの延長だと思っている。
N2-vocab-0079,N2,vocab,第8 課:71~80,79,目上,めうえ,Người trên,26,OK,raw_例文,NO,YES,2,意味 年齢・地位が自分より上 めうえ 目上 __の人 ポイント ⇔目下 例文 ・目上の人に「ご苦労様」はだめです! Người trên 「お疲れ様」を使いましょう!
N2-vocab-0080,N2,vocab,第8 課:71~80,80,反省,はんせい,Kiểm điểm,26,OK,raw_例文,NO,YES,1,意味 自分のよくなかったところを認めて、よくしようと はんせい 反省 すること 例文 ・今回のプロジェクト失敗の原因を探すために反省会 Kiểm điểm を開いた。
N2-vocab-0081,N2,vocab,第9 課:81~90,81,確保,かくほ,Duy trì/Bắt giữ,27,OK,raw_例文,NO,YES,2,Kiến thức 意味 1 確実に手に入れること かくほ 確保 ふんそう 例文 ・紛争 地域では、食料を確保することも難しい。 意味 Duy trì/Bắt giữ 2 失わないように、しっかりと保つこと 例文 ・「犯人を確保しました。」
N2-vocab-0082,N2,vocab,第9 課:81~90,82,契機,けいき,Thời cơ,27,OK,raw_例文,NO,YES,1,けいき 意味 「きっかけ」よりも堅い言い方 契機 例文 ・卒業を契機に日本に行くことを決めた。 ≒卒業を機に Thời cơ
N2-vocab-0083,N2,vocab,第9 課:81~90,83,謝り,,"Sai, nhầm, lỗi",27,OK,raw_例文,NO,YES,1,"意味 正しくないこと。間違い。 謝り ポイント ≒エラー、間違い 例文 ・パスワード連続誤りが続ければ、アカウントが Sai, nhầm, lỗi ロックされる。"
N2-vocab-0084,N2,vocab,第9 課:81~90,84,臆病,おくびょう,Hèn nhát,28,OK,raw_例文,NO,YES,1,おくびょう 意味 ちょっとしたことで怖がる 臆病 例文 Hèn nhát ・私は恐がりで臆病で、よく泣く子供だった。 関連語彙 おくびょうもの 類: 臆病者 ゆうき 対: 勇気
